ANALYTE_ID,ANA_TYPE,HALF_LIFE,HALF_LIFE_TIME_UNIT,ANALYTE_NAME,CRS_ID
AC228,R,6.13,H,Actinium-228,NA
ALPHA,R,NA,NA,Gross Alpha,NA
AM241,R,432.2,Y,Americium-241,NA
BA133,R,10.5,Y,Barium-133,NA
BA140,R,12.789,D,Barium-140,NA
BE7,R,53.44,D,Beryllium-7,NA
BETA,R,NA,NA,Gross Beta,NA
BI206,R,6.243,D,Bismuth-206,NA
BI207,R,33.4,Y,Bismuth-207,NA
BI212,R,60.55,M,Bismuth-212,NA
BI214,R,19.9,M,Bismuth-214,NA
C14,R,5730,Y,Carbon-14,NA
CA,E,NA,NA,Calcium,NA
CE141,R,32.5,D,Cerium-141,NA
CE144,R,284.3,D,Cerium-144,NA
CO60,R,5.271,Y,Cobalt-60,NA
CS134,R,2.062,Y,Cesium-134,NA
CS136,R,13.16,D,Cesium-136,NA
CS137,R,30.17,Y,Cesium-137,NA
H3,R,12.312,Y,Tritium,NA
I131,R,8.0233,D,Iodine-131,NA
I132,R,2.3,H,Iodine-132,NA
I133,R,20.8,H,Iodine-133,NA
K,E,NA,NA,Potassium,NA
K40,R,1277e6,Y,Potassium-40,NA
KR85,R,10.72,Y,Krypton-85,NA
LA138,R,105e9,Y,Lanthanum-138,NA
LA140,R,40.22,H,Lanthanum-140,NA
NA22,R,2.602,Y,Sodium-22,NA
NB95,R,34.991,D,Niobium-95,NA
PA234M,R,1.17,M,Protactinium-234m,NA
PB210,R,22.26,Y,Lead-210,NA
PB211,R,36.1,M,Lead-211,NA
PB212,R,10.643,H,Lead-212,NA
PB214,R,26.8,M,Lead-214,NA
PO210,R,138.378,D,Polonium-210,NA
PU238,R,87.75,Y,Plutonium-238,NA
PU239,R,24131,Y,Plutonium-239,NA
RA223,R,11.434,D,Radium-223,NA
RA224,R,3.62,D,Radium-224,NA
RA226,R,1600,Y,Radium-226,NA
RA228,R,5.75,Y,Radium-228,NA
RN219,R,3.96,S,Radon-219,NA
RN220,R,55.61,S,Radon-220,NA
RU103,R,39.35,D,Ruthenium-103,NA
RU106,R,368.2,Y,Ruthenium-106,NA
SR89,R,50.55,D,Strontium-89,NA
SR90,R,28.6,Y,Strontium-90,NA
TE123M,R,119.7,D,Tellurium-123m,NA
TE129,R,69.6,M,Tellurium-129,NA
TE129M,R,33.6,D,Tellurium-129m,NA
TE132,R,3.204,D,Tellurium-132,NA
TH227,R,18.72,D,Thorium-227,NA
TH228,R,1.9127,Y,Thorium-228,NA
TH230,R,75380,Y,Thorium-230,NA
TH232,R,1402e7,Y,Thorium-232,NA
TH234,R,24.1,D,Thorium-234,NA
TL208,R,3.053,M,Thallium-208,NA
U234,R,245500,Y,Uranium-234,NA
U235,R,7038e5,Y,Uranium-235,NA
U238,R,4468e6,Y,Uranium-238,NA
ZN65,R,244.4,D,Zinc-65,NA
ZR/NB95,R,NA,NA,Zirconium/Niobium-95,NA
ZR95,R,64.02,D,Zirconium-95,NA
C14/C,R,5730,Y,Carbon-14/Total Carbon,NA
